"","placename","placephone","placeaddress"
"53","BELLYSIMAS DANCERS ACADEMY","(829) 595-2866","La Esperanza, Santo Domingo Este, Dominican Republic"
"54","Escuela Varias Luces","ND","Calle Antonio Guzmán, Santo Domingo 10402, Dominican Republic"
"55","AsoArtCa - Escuela de musica en la calle","ND","Calle El Conde, Santo Domingo 10210, Dominican Republic"
"56","Casa de la Juventud Nueva","(809) 689-8019","esquina, Av. Mexico & Calle Jacinto de la Concha, Santo Domingo 10217, Dominican Republic"
"57","Academia De Artes Anny Fernandez","(829) 995-7580","Calle Central de Lucerna. No 15 Carretera Mella A una esquina del supermercado cumbre, Santo Domingo Este 11516, Dominican Republic"
"58","Colegio Cristiano JosBet","(809) 596-2851","Calle Guayubín Olivo, Santo Domingo 11517, Dominican Republic"
"59","Sociedad Iberoamericana de Psicologos","(809) 422-0345","Santo Domingo 10210, Dominican Republic"
"60","Centro Educativo Buenas Nuevas","(809) 236-5084","Residencial Gisselle, Calle 1ra. No.3, Villa Faro, Santo Domingo Este, Santo Domingo Este, Dominican Republic"
"61","Internacional Ymca Family School","(809) 766-0656","No. 49,, Calle 2, Santo Domingo Este, Dominican Republic"
"62","Escuela de Televisión Educativa","(809) 597-1974","Santo Domingo Este, Dominican Republic"
"63","Canadian American Institute","(809) 538-5336","Padre Castellano. Esq. Albert Thomas, Av. Albert Thomas 223, Santo Domingo 10401, Dominican Republic"
"64","Colegio Barney","(809) 483-2642","Calle Guayubín Olivo #80, Santo Domingo Este 11517, Dominican Republic"
"65","Colegio Instituto Dionarys Elizabeth","(809) 245-9559","Calle Bellatrix Esq., Calle Los Ríos, Santo Domingo Este, Dominican Republic"
"66","Wilca Research Eolic - Solar Lab","(849) 857-7011","Santo Domingo Este 11905, Dominican Republic"
"67","Centro ITLA Gualey","(809) 350-4973","Av. Francisco del Rosario Sanchez Esq. Calle 27, Gualey, Local de AGRUCUDEGUA, Santo Domingo 10403, Dominican Republic"
"68","GC FILMS ESCUELA DE CINE","(809) 687-0077","Calle Sanchez 126, Santo Domingo 10210, Dominican Republic"
"69","Dallas Inglés School","(809) 689-2638","Calle El Conde 502, Santo Domingo 10210, Dominican Republic"
"70","Colegio El Quijote","(809) 388-2703","Santo Domingo Este 11905, Dominican Republic"
"71","Politécnico Nuestra Señora del Carmen","(809) 681-4129","Calle Jesus de Galindez, Santo Domingo 10405, Dominican Republic"
"72","IDECAE","(809) 333-6249","Calle G. Hansen, Santo Domingo, Dominican Republic"
"73","The Private English Institute","(809) 536-7520","Calle Josefa Brea Santo Domingo Dominican Republic, Santo Domingo 10401, Dominican Republic"
"74","AGEACACSAW METROPOLIS","(809) 357-7455","Calle Cuyaya, Santo Domingo Este, Dominican Republic"
"75","Colegio San Francisco De Asis","(809) 596-7422","Calle San Francisco de Asis, Santo Domingo Este 11503, Dominican Republic"
"76","AR School and Modeling Agency","(829) 847-8430","Calle Estrelleta & Calle Canela, Santo Domingo 10208, Dominican Republic"
"77","School Liceo Republic of Colombia","(809) 538-4561","Calle 6 Norte, Santo Domingo 10401, Dominican Republic"
"78","Escuela Domingo Moreno Jimenes","(809) 593-3774","Santo Domingo Este 11905, Dominican Republic"
"79","Escuela de Idioma UASD Oriental","(809) 728-2649","Avenida Charles de Gaulle 43, Santo Domingo Este, Dominican Republic"
"80","Juancito Sport (Villa Consuelo) Suc 14","(809) 562-1155","Santo Domingo 10309, Dominican Republic"
"81","INSTITUTE OF TECHNOLOGY INDUSTRIAL ITI","(809) 685-8775","Calle Gaspar Hernandez, Santo Domingo 10217, Dominican Republic"
"82","Escuela Multitematica","ND","Santo Domingo 10209, Dominican Republic"
"83","Instituto Masonico","(809) 687-2233","Calle Arzobispo Portes 554, Santo Domingo 10208, Dominican Republic"
"84","Universal System of English Center (CUSE)","(809) 594-1404","Calle Agustin Castro, Santo Domingo Este, Dominican Republic"
"85","Minibytes","(809) 688-1374","C/Beller #400, Gazcue,, Santo Domingo 10208, Dominican Republic"
"86","uconares","(809) 681-0608","Calle San Juan Bosco, Santo Domingo 10201, Dominican Republic"
"87","Pitusines Preschool and Day Care Center","(809) 333-5208","Av México 128, Santo Domingo 10201, Dominican Republic"
"88","Oficinas Laudio Audiologia","(809) 221-7572","7,Gazcue, Av Dr Delgado, Santo Domingo 10209, Dominican Republic"
"89","Colegio Espiritu Santo","(809) 688-1843","Calle Manuel Ubaldo Gomez & Calle Prof Amiama Gomez, Santo Domingo 10308, Dominican Republic"
"90","College of the Apostolate","(809) 687-2188","Avenida Bolivar 165, Santo Domingo 10205, Dominican Republic"
"91","Liceo Nocturno Los Trinitarios","(809) 239-7492","Calle Jacinto de los Santos, Santo Domingo Este, Dominican Republic"
"92","Escuela Nacional de Migración ENM","(809) 412-0666","Calle Manuel de Jesus Galvan 9, Santo Domingo, Dominican Republic"
"93","Laboratorios de Metrología del INDOCAL","(809) 537-1281","Santo Domingo, Dominican Republic"
"94","Migration's national institute","(809) 412-0666","Calle Manuel Rodríguez Objío 12, Santo Domingo, Dominican Republic"
"95","Instituto Técnico Superior Mercy Jacquez","(809) 688-0389","Calle Garcia Godoy, Santo Domingo, Dominican Republic"
"96","Colegio Pitusines","(809) 333-5208","Av México 31, Santo Domingo 10201, Dominican Republic"
"97","Juancito Sport (Don Bosco II) Suc 81","(809) 562-1185","Av. San Martín 72, Santo Domingo 10202, Dominican Republic"
"98","Escuela Liceo Santo Tomas De Aquino","(809) 563-6709","Santo Domingo Este 11905, Dominican Republic"
"99","Dominican College Spanish","(809) 682-4245","R, Av. Pedro Henríquez Ureña No 13-15, Santo Domingo, Dominican Republic"
"100","Kids Awake Preschool","(809) 414-0446","Calle 30, Santo Domingo Este 11704, Dominican Republic"
"101","Asociación Dominicana de Síndrome de Down","(809) 537-0410","6, Calle Josefa Perdomo, Santo Domingo, Dominican Republic"
"102","ADOSIP Academis Dominicana de Seguridad e Investigaciones Privadas","(809) 412-8334","Felix Mariano Lluberes No.6 2do Nivel Suite 202, Santo Domingo, Dominican Republic"
"103","Iglesia San Elias Profeta","(809) 536-2669","Av Pedro Livio Cedeño, Santo Domingo 10411, Dominican Republic"
"104","Escuela republica del ecuador","(809) 590-7556","Salomé Ureña, Santo Domingo, Dominican Republic"
"105","CETEC","(809) 686-0370","Calle Rosa Duarte 57, Santo Domingo 10201, Dominican Republic"
"106","Escuela Simón Bolívar","(809) 621-1236","Calle Trinitaria, Santo Domingo 10405, Dominican Republic"
"107","Centro De Capacitación De La Contraloría","(809) 682-1677","Calle Caonabo 4, Santo Domingo, Dominican Republic"
"108","Parroquia Santa Clara De Asis","(809) 681-1767","Calle 8, Santo Domingo 10407, Dominican Republic"
"109","Instituto Tecnológico Simón Orozco","(809) 245-6457","Santo Domingo, Dominican Republic"
"110","Salesian College Sacred Heart of Jesus","(829) 236-7171","Calle Mauricio Baez 66, Santo Domingo 10413, Dominican Republic"
"111","escuela nacional de danza","(829) 848-0881","calle cesar nicolas pennson, plaza del conservatorio, Dominican Republic"
"112","Genius Girl Ballet","(849) 269-5887","Santo Domingo Este, Dominican Republic"
"113","Centro de Excelencia Prof. Luis Encarnación Nolasco","(829) 848-0176","Av San Martin 39, Santo Domingo 10309, Dominican Republic"
"114","S.F.M Servicios de Salud y Capacitacion Odontolaboral","(809) 231-2528","A, Av. Pdte. Vásquez 156, Santo Domingo Este 11503, Dominican Republic"
"115","Colegio Sagrada Familia","ND","Calle Dr. Octavio Mejia Ricart, Santo Domingo Este 11504, Dominican Republic"
"116","Integral Education Center for Maternal Vivi","(809) 699-0761","Calle Club de Leones, Santo Domingo 11504, Dominican Republic"
"117","D' Doris Baby Center","(809) 624-1527","Santo Domingo Este 11503, Dominican Republic"
"118","Colegio Senda De Bendicion","(809) 593-0645","Calle Bonaire, Santo Domingo Este 11504, Dominican Republic"
"119","Great Montessori school","(809) 596-5406","Calle Club de leones, entre calle 10 y 11, #224, Santo Domingo Este 11504, Dominican Republic"
"120","Escuela De Matematica Prof. Ovalle","(849) 296-5046","Calle Puerto Rico, Santo Domingo Este 11504, Dominican Republic"
"121","Colegio Look at Me","ND","Calle Puerto Rico, Santo Domingo Este 11503, Dominican Republic"
"122","Tennis Titis","ND","Parque, Santo Domingo Este 11504, Dominican Republic"
"123","Academy by Leurellas","(809) 591-8626","Calle Costa Rica 142, Santo Domingo Este 11503, Dominican Republic"
"124","Congregacion Meshianica El Poder De La Resurreccion","(829) 848-5023","Calle Puerto Rico, Santo Domingo Este 11504, Dominican Republic"
"125","Liceo Eugenio Maria De Hostos","(809) 699-1839","Calle Puerto Rico, Santo Domingo Este 11504, Dominican Republic"
"126","Centro Educativo Renacer","(809) 699-0213","Calle Virgilio Mainardi Reyna, Santo Domingo Este 11503, Dominican Republic"
"127","Colegio Mi Pequeño Bambino","ND","Calle Costa Rica, Santo Domingo Este 11504, Dominican Republic"
"128","Noviciado Maria Inmaculada","ND","Calle Costa Rica, Santo Domingo Este 11504, Dominican Republic"
"129","Estadio La FAMILIA (PLAY DARIO CONTRERAS)","ND","Santo Domingo Este 11503, Dominican Republic"
"130","La Casa Del Bambini Centro Montessori","(809) 595-3773","Santo Domingo Este 11504, Dominican Republic"
"131","Jardín Infantil Las Libélulas","(809) 595-9714","Santo Domingo 11504, Dominican Republic"
"132","Educative Center Las Americas","(809) 699-1826","Santo Domingo Este 11504, Dominican Republic"
"133","Colegio Bilingue Brillants","ND","Marginal Norte 19, Santo Domingo 11503, Dominican Republic"
"134","Juansito Sport","ND","Av Sabana Larga 206, Santo Domingo Este 11501, Dominican Republic"
"135","Academia de locucion El maestro","(829) 266-5904","Santo Domingo Este 11501, Dominican Republic"
"136","Escuela Alvaro Sosa Mieses","(809) 699-1840","Calle Puerto Rico 131, Santo Domingo 11504, Dominican Republic"
"137","Colegio Dream School","(809) 273-9573","Santo Domingo Este 11504, Dominican Republic"
"138","Colego Genial Montessri","ND","Calle Club de Leones 233, Santo Domingo Este 11504, Dominican Republic"
"139","Tutorías Colón","(809) 216-1677","Ensanche Ozama, Santo Domingo Este 11501, Dominican Republic"
"140","Elementary Middle School Patria Mella","(809) 596-1437","Santo Domingo Este 11503, Dominican Republic"
"141","Fuego Fuego - Hooka/Weed","ND","Santo Domingo Este 11606, Dominican Republic"
"142","Creato Nursery & Preschool","ND","Calle Primera, Santo Domingo Este 11504, Dominican Republic"
"143","Centro Educativo Ovidio Decroly","(809) 594-4409","Calle Aruba, Santo Domingo Este 11501, Dominican Republic"
"144","Centro Educativo montessino","ND","República Dominicana, Santo Domingo Este 11501, Dominican Republic"
"145","Instituto Tecnologico Rema","ND","Av 25 de Febrero, Santo Domingo Este 11604, Dominican Republic"
"146","Centro de Estimulacion Temprana y Educación Inicial Montesinos","(809) 788-2232","Calle Aruba, Santo Domingo Este 11501, Dominican Republic"
"147","Colegio Fresita","ND","Calle Pedro A. Perez Cabral, Santo Domingo Este 11504, Dominican Republic"
"148","Learning Melodies School","(829) 954-0204","Calle Dr. Octavio Mejia Ricart 210, Santo Domingo Este 11504, Dominican Republic"
"149","Saint Henry School","ND","f, Residencial Nuevo Amanecer Calle K 13, Santo Domingo Este 11504, Dominican Republic"
"150","Montessori Oriental","(809) 788-0330","Alma Rosa I, Calle Nicolás Silfa Canario #51, Santo Domingo Este 11504, Dominican Republic"
"151","Centro de Danza Ozama","(809) 591-3090","Calle Masoneria 81, Santo Domingo Este 11501, Dominican Republic"
"152","Colegio Cardenal Sancha - Nivel Inicial","ND","Calle Francisco Andujar, Santo Domingo Este 11504, Dominican Republic"
"153","Tribunal De Menores","ND","Calle Puerto Rico, Santo Domingo Este 11501, Dominican Republic"
"154","Rise and Shine","(809) 591-4825","Santo Domingo Este 11504, Dominican Republic"
"155","Centro Educativo Universo 1","(809) 273-7338","Calle 4ta, Santo Domingo Este 11604, Dominican Republic"
"156","Escuela La ZAFRA","ND","Calle Rosa Duarte, Santo Domingo Este, Dominican Republic"
"157","Centro Educativo Virgen Madre","(809) 597-7253","Santo Domingo Este 11504, Dominican Republic"
"158","Centro Educativo montesinos","ND","Santo Domingo Este 11501, Dominican Republic"
"159","Minerva miraval","ND","Av Venezuela 57, Santo Domingo Este 11501, Dominican Republic"
"160","Puerto Plata","(809) 261-2242","Av. Pedro Clisante, Santo Domingo Este 11501, Dominican Republic"
"161","Escuela Santa Clara","(809) 699-0198","Calle Primera, Santo Domingo Este 11604, Dominican Republic"
"162","Florence International School","(809) 594-6428","no. 324, Calle Puerto Rico, Santo Domingo Este 11504, Dominican Republic"
"163","Colegio Cristiano Rojo Blanco Azul","ND","Calle Bonaire 247, Santo Domingo Este 11504, Dominican Republic"
"164","Codeteco","ND","Av Las Américas, Santo Domingo 11501, Dominican Republic"
"165","School Patria Mella","ND","Calle 6-A, Santo Domingo Este 11901, Dominican Republic"
"166","Escuela Pueblo Nuevo","ND","La Milagrosa, Santo Domingo Este 11901, Dominican Republic"
"167","Colegio Compañia de Jesus","(809) 848-6154","Calle 8, Santo Domingo Este 11604, Dominican Republic"
"168","Escuela De Musica JLM","(849) 352-2202","Calle 4, Santo Domingo Este 11606, Dominican Republic"
"169","Escuela San Juan","ND","Calle D, Santo Domingo Este 11604, Dominican Republic"
"170","Colegio Parroquial La Milagrosa","(809) 594-7747","Calle 5D, Santo Domingo 11901, Dominican Republic"
"171","Trencitos Kids","ND","Calle Leovilda del Villar 25, Santo Domingo Este 11501, Dominican Republic"
"172","Escuela Vieja Manuel Tejada Florentino","ND","Calle J5, Santo Domingo 11901, Dominican Republic"
"173","Escuela La Grua","ND","Carr. de Mendoza, Santo Domingo Este, Dominican Republic"
"174","Escuela De Ballet sindy Vargas","ND","Calle Leovilda del Villar, Santo Domingo Este 11501, Dominican Republic"
"175","Learning Steps","(809) 594-8495","Calle Marginal, Santo Domingo Este 11506, Dominican Republic"
"176","Colegio Suma","ND","Santo Domingo Este 11506, Dominican Republic"
"177","Escuela Movearte Río Ozama","ND","Calle Juan Goico Alix, Santo Domingo 11501, Dominican Republic"
"178","Instituto Dominico Americano","ND","esq., Calle Jose Cabrera & Calle Leovilda del Villar, Santo Domingo Este 11501, Dominican Republic"
"179","Centro de Educacion Infantil Mundo Feliz","(809) 699-0235","Calle Juan Goico Alix 56, Santo Domingo Este 11501, Dominican Republic"
"180","Dominico Americano SDE1","ND","Calle Leovilda del Villar 58, Santo Domingo Este 11501, Dominican Republic"
"181","Instituto Cultural Dominico Americano","(809) 592-5835","Calle Leovilda del Villar 58, Santo Domingo Este 11501, Dominican Republic"
"182","Advanced English Methodologies","(809) 598-2944","Calle Curazao, Santo Domingo Este 11504, Dominican Republic"
"183","Centro de Estudios INATEC","(809) 595-3338","calle juan pablo duate esq. duverge, los mina sur, santo domingo este, Calle Juan Pablo Duarte 03, Santo Domingo Este 11901, Dominican Republic"
"184","Aprender Abre Caminos","(809) 598-5902","Reparto Alma Rosa, Santo Domingo Este 11511, Dominican Republic"
"185","Colegio sol Naciente","ND","Calle Pepeyo Ricardo, Santo Domingo Este 11511, Dominican Republic"
"186","American Team School Of English","(809) 699-1582","#116, Calle 20, Santo Domingo Este, Dominican Republic"
"187","Lovely Nailz Zona Oriental","(809) 362-3341","Calle Costa Rica, Santo Domingo Este, Dominican Republic"
"188","Colegio Laura Vicuña","(809) 594-8754","Calle 15, Santo Domingo Este 11501, Dominican Republic"
"189","Centro De Educacion Especial y Rehabilitacion Laura Vicuña","(809) 594-8754","Calle Padres Paules 78, Santo Domingo Este, Dominican Republic"
"190","Politecnico Movearte Ozama","ND","Calle Jose Cabrera, Santo Domingo Este 11501, Dominican Republic"
"191","centro de estudios tecnicos Reykis","(809) 598-4307","HH. Carmelitas Teresas de San José, Santo Domingo Este 11501, Dominican Republic"
"192","Escuela Demetrio Betances","ND","Santo Domingo Este 11602, Dominican Republic"
"193","Centro pedagógico la fresita del saber","ND","Calle Puerto Rico, Santo Domingo Este 11601, Dominican Republic"
"194","Camino Del Reino Colegio Jardines Del Norte 6C","ND","Santo Domingo Este 11506, Dominican Republic"
"195","Kung Fu Yi Yeng","ND","Francisco Segura Sandoval, Santo Domingo Este 11901, Dominican Republic"
"196","Estancia Infantil Center (CONDEI)","ND","Los Mina., Calle 1ra, Santo Domingo Este 11906, Dominican Republic"
"197","Escuela Santa Filomena Fe Y Alegria","ND","Calle 1, Santo Domingo Este 11906, Dominican Republic"
"198","Colegio Joviel","(809) 414-3261","Santo Domingo Este, Dominican Republic"
"199","maria del carmen","ND","Calle Jacinto de los Santos, Santo Domingo Este, Dominican Republic"
"200","Colegio Jehova Mi Roca","ND","Calle Jacinto de los Santos 135, Santo Domingo Este, Dominican Republic"
